Blue Pearl Amulet,青真珠のアミュレット
Zerphi's Heart,Zerphi's Heart
Sacrificial Heart,生贄の心臓
Replica Atziri's Foible,Replica Atziri's Foible
DrTestapus' Charm,DrTestapus' Charm
Araku Tiki,Araku Tiki
Ngamahu Tiki,Ngamahu Tiki
The Primordial Chain,The Primordial Chain
Tavukai,Tavukai
The Anvil,鉄床
Blood of Corruption,Blood of Corruption
The Rathorn,The Rathorn
Xoph's Heart,Xoph's Heart
Xoph's Blood,ゾフの血
Karui Ward,Karui Ward
Rashkaldor's Patience,Rashkaldor's Patience
Karui Charge,Karui Charge
The Halcyon,The Halcyon
The Pandemonius,パンデモニアス
Hyrri's Truth,Hyrri's Truth
Willowgift,Willowgift
Replica Karui Ward,Replica Karui Ward
Replica Hyrri's Truth,Replica Hyrri's Truth
Marylene's Fallacy,Marylene's Fallacy
Stone of Lazhwar,ラズワールの石
Tear of Purity,Tear of Purity
Voice of the Storm,Voice of the Storm
Choir of the Storm,嵐の合唱
The Ephemeral Bond,The Ephemeral Bond
Doedre's Tongue,Doedre's Tongue
Demigod's Presence,Demigod's Presence
The Ignomon,The Ignomon
Winterheart,Winterheart
Frost Unbroken,Frost Unbroken
The Ascetic,The Ascetic
Bisco's Collar,Bisco's Collar
The Effigon,The Effigon
Perquil's Toe,Perquil's Toe
Replica Winterheart,Replica Winterheart
Astramentis,アストラメンティス
Carnage Heart,カーネイジ・ハート
Eye of Chayula,チャユラの目
Hinekora's Sight,ヒネコラの視界
The Learning Stone,The Learning Stone
Duskwing,Duskwing
Presence of Chayula,Presence of Chayula
Yoke of Suffering,苦痛の頸木
Impresence,Impresence
Aul's Uprising,Aul's Uprising
Malachai's Brilliance,Malachai's Brilliance
Solstice Vigil,Solstice Vigil
Leadership's Price,指導者の対価
Stranglegasp,Stranglegasp
Crystallised Omniscience,Crystallised Omniscience
Ashes of the Stars,Ashes of the Stars
The Eternal Struggle,The Eternal Struggle
Victario's Acuity,Victario's Acuity
Ungil's Harmony,アンギルの調和
Warped Timepiece,Warped Timepiece
Maligaro's Cruelty,Maligaro's Cruelty
Badge of the Brotherhood,Badge of the Brotherhood
Fury Valve,Fury Valve
Voll's Devotion,Voll's Devotion
Shaper's Seed,Shaper's Seed
The Aylardex,The Aylardex
Extractor Mentis,Extractor Mentis
Eternal Damnation,Eternal Damnation
Daresso's Salute,Daresso's Salute
Eye of Innocence,Eye of Innocence
The Jinxed Juju,The Jinxed Juju
The Felbog Fang,The Felbog Fang
Retaliation Charm,Retaliation Charm
Star of Wraeclast,Star of Wraeclast
Uul-Netol's Vow,Uul-Netol's Vow
Talisman of the Victor,Talisman of the Victor
Gloomfang,Gloomfang
Bloodgrip,Bloodgrip
Night's Hold,Night's Hold
Rigwald's Curse,Rigwald's Curse
Blightwell,Blightwell
Natural Hierarchy,Natural Hierarchy
Eyes of the Greatwolf,Eyes of the Greatwolf
Demigod's Eye,Demigod's Eye
Blackheart,ブラックハート
Le Heup of All,Le Heup of All
Voidheart,Voidheart
The Warden's Brand,The Warden's Brand
Circle of Guilt,Circle of Guilt
Icefang Orbit,アイスファングの軌道
Venopuncture,ヴェノパンクチャー
Kaom's Sign,Kaom's Sign
Sibyl's Lament,Sibyl's Lament
Kaom's Way,Kaom's Way
Winterweave,Winterweave
Doedre's Damning,ドードゥリの糾弾
Perandus Signet,Perandus Signet
Praxis,Praxis
Replica Doedre's Damning,Replica Doedre's Damning
Fated End,運命の終焉
Andvarius,アンドヴァリアス
Ventor's Gamble,ヴェンターのギャンブル
The Highwayman,The Highwayman
Kikazaru,Kikazaru
Valako's Sign,Valako's Sign
Putembo's Valley,Putembo's Valley
Putembo's Mountain,Putembo's Mountain
Putembo's Meadow,Putembo's Meadow
Precursor's Emblem,Precursor's Emblem
Circle of Regret,Circle of Regret
Astral Projector,Astral Projector
Ungils's Coil,Ungils's Coil
Storm Secret,Storm Secret
Nimis,Nimis
Dream Fragments,夢の断片
Pyre,Pyre
Tasalio's Sign,タサリオの印
Snakepit,スネークピット
Uzaza's Meadow,Uzaza's Meadow
Uzaza's Mountain,Uzaza's Mountain
Uzaza's Valley,Uzaza's Valley
Circle of Fear,Circle of Fear
Replica Tasalio's Sign,タサリオの印（レプリカ）
Call of the Void,Call of the Void
Mokou's Embrace,Mokou's Embrace
Ngamahu's Sign,ナマフの印
Emberwake,Emberwake
Ahkeli's Mountain,Ahkeli's Mountain
Ahkeli's Meadow,Ahkeli's Meadow
Ahkeli's Valley,Ahkeli's Valley
Circle of Anguish,Circle of Anguish
Warrior's Legacy,Warrior's Legacy
Replica Emberwake,Replica Emberwake
Lori's Lantern,Lori's Lantern
The Taming,The Taming
Thief's Torment,泥棒の苦悩
Shavronne's Revelation,Shavronne's Revelation
Timeclasp,Timeclasp
Heartbound Loop,ハートバウンド・ループ
Mana Sponge,Mana Sponge
Valyrium,Valyrium
Timetwist,Timetwist
Anathema,Anathema
Death Rush,死の激発
Ming's Heart,ミンの心臓
Circle of Nostalgia,Circle of Nostalgia
Blackflame,黒い炎
Original Sin,原罪
Gifts from Above,天の恩恵
Romira's Banquet,Romira's Banquet
Berek's Respite,Berek's Respite
Berek's Grip,Berek's Grip
Call of the Brotherhood,兄弟の証
Berek's Pass,Berek's Pass
Rigwald's Crest,Rigwald's Crest
Voideye,Voideye
Malachai's Artifice,Malachai's Artifice
Brinerot Mark,Brinerot Mark
Redblade Band,Redblade Band
Mutewind Seal,Mutewind Seal
The Pariah,The Pariah
Essence Worm,Essence Worm
Angler's Plait,Angler's Plait
The Hungry Loop,The Hungry Loop
Mark of Submission,Mark of Submission
Vivinsect,Vivinsect
Profane Proxy,Profane Proxy
Replica Malachai's Artifice,Replica Malachai's Artifice
Replica Voideye,Replica Voideye
Rotblood Promise,Rotblood Promise
Triumvirate Authority,Triumvirate Authority
Band of the Victor,Band of the Victor
Mark of the Elder,Mark of the Elder
Stormfire,ストームファイヤー
Mark of the Shaper,Mark of the Shaper
Polaric Devastation,Polaric Devastation
Kalandra's Touch,カランドラの接触
Prismweave,Prismweave
Chains of Time,Chains of Time
Feastbind,Feastbind
Faminebind,Faminebind
The Retch,The Retch
Replica Prismweave,Replica Prismweave
Bated Breath,Bated Breath
Maligaro's Restraint,Maligaro's Restraint
Ascent From Flesh,Ascent From Flesh
Coward's Chains,Coward's Chains
Coward's Legacy,臆病者の遺産
Chains of Emancipation,Chains of Emancipation
Replica Bated Breath,Replica Bated Breath
Headhunter,ヘッドハンター
Immortal Flesh,Immortal Flesh
Wurm's Molt,Wurm's Molt
Umbilicus Immortalis,不滅の臍帯
Cyclopean Coil,Cyclopean Coil
Gluttony,Gluttony
Hyperboreus,Hyperboreus
Leash of Oblation,Leash of Oblation
Bear's Girdle,Bear's Girdle
Replica Headhunter,Replica Headhunter
Pyroshock Clasp,Pyroshock Clasp
Doryani's Invitation,Doryani's Invitation
Meginord's Girdle,メギノルドのベルト
Belt of the Deceiver,Belt of the Deceiver
Dyadian Dawn,Dyadian Dawn
Bisco's Leash,Bisco's Leash
String of Servitude,String of Servitude
Siegebreaker,Siegebreaker
Mother's Embrace,Mother's Embrace
Replica Siegebreaker,Replica Siegebreaker
Survivor's Guilt,Survivor's Guilt
Mageblood,Mageblood
Perandus Blazon,Perandus Blazon
Sunblast,Sunblast
Soulthirst,Soulthirst
Soul Tether,魂を繋ぐ綱
The Flow Untethered,The Flow Untethered
The Torrent's Reclamation,The Torrent's Reclamation
Replica Soul Tether,Replica Soul Tether
The Druggery,The Druggery
Arn's Anguish,Arn's Anguish
Olesya's Delight,Olesya's Delight
Graven's Secret,Graven's Secret
The Magnate,The Magnate
Ryslatha's Coil,リスラーサのコイル
The Tactician,The Tactician
The Nomad,The Nomad
Perseverance,Perseverance
Auxium,Auxium
The Burden of Truth,The Burden of Truth
Demigod's Bounty,Demigod's Bounty
Darkness Enthroned,即位した闇
Defiance of Destiny,運命への反抗
Tainted Pact,Tainted Pact
Ikiaho's Promise,イキアホの誓い
Bloodsoaked Medallion,Bloodsoaked Medallion
Replica Dragonfang's Flight,竜の牙の飛翔（レプリカ）
Honoured Alliance,名誉ある同盟
Soulbound,Soulbound
Tawhanuku's Timing,タウハヌクのタイミング
Chain of Endurance,Chain of Endurance
Kaom's Binding,カオムの束縛
Ceinture of Benevolence,Ceinture of Benevolence
Bound Fate,確かな運命
Focused Amulet,フォーカスアミュレット
Composite Ring,複合の指輪
Manifold Ring,多様体の指輪
Ratcheting Ring,歯止めの指輪
Helical Ring,螺旋の指輪
The Untouched Soul,手付かずの魂
Replica Hinekora's Sight,ヒネコラの視界（レプリカ）
Replica Badge of the Brotherhood,一党の記章（レプリカ）
Ixchel's Temptation,イシュチェルの誘惑
Mechanical Belt,機械的なベルト
The Utmost,最高峰
Circle of Ambition,野望の環
Grattus Signet,グラッタスの印章
Nevalius Inheritance,ネヴァリウスの相続
The Tides of Time,時の潮流
Crimson Amulet,深紅のアミュレット
Azure Amulet,深青のアミュレット
Lunar Amulet,月のアミュレット
Bloodstone Amulet,血石のアミュレット
Stellar Amulet,星のアミュレット
Solar Amulet,太陽のアミュレット
Pearlescent Amulet,玉虫色のアミュレット
Dusk Amulet,黄昏のアミュレット
Gloam Amulet,薄明のアミュレット
Penumbra Amulet,半影のアミュレット
Tenebrous Amulet,仄暗いアミュレット
Distorted Amulet,歪んだアミュレット
Lazuli Ring,青金石の指輪
Emerald Ring,エメラルドの指輪
Pearl Ring,真珠の指輪
Abyssal Signet,アビスの印章指輪
Rawhide Belt,生皮のベルト
Linen Belt,リネンのベルト
Wide Belt,幅広のベルト
Long Belt,長いベルト
Plate Belt,プレートベルト
Ornate Belt,華美なベルト
Mail Belt,メイルベルト
Double Belt,ダブルベルト
Utility Belt,実用的なベルト
Fine Belt,精巧なベルト
Igniferis,イグニフェリス
Idol of Uldurn,ウルダーンの偶像
The Everlasting Gaze,不朽の眼差し
Revered Resin,敬われし樹脂
Surefooted Sigil,確かな足取りの印章
Ligurium Talisman,リグリウムの魔除け
Nighthowl,Nighthowl
Rondel of Fragility,脆弱のロンデル
Fixation of Yix,イクスの凝視
Strugglescream,ストラグルスクリーム
Beacon of Azis,アジスの標
Fireflower,ファイアフラワー
Serpent's Egg,蛇の卵
Prized Pain,尊ばれし苦痛
Glowswarm,グロウスウォーム
Seed of Cataclysm,災厄の種子
Cracklecreep,クラックルクリープ
Blistering Bond,焼け付く絆
Polcirkeln,プールシルケルン
Whisper of the Brotherhood,一党の囁き
The Burrower,潜る者
Levinstone,レヴィンストーン
Vigilant View,警戒の目
Evergrasping Ring,貪欲の指輪
Perandus Seal,ペランダスの印鑑指輪
Bursting Decay,溢れる腐敗
Grip of Kulemak,クーラマクの掌握
Sekhema's Resolve,セケマの決意
Midnight Braid,真夜中の組紐
Keelhaul,竜骨くぐり
Birthright Buckle,遺産のバックル
Byrnabas,バーナバス
The Gnashing Sash,歯を鳴らす帯
Circle of Protection,Circle of Protection
Goregirdle,ゴアガードル
Infernoclasp,地獄の留め金
Spirit Link,Spirit Link
Silverpoint,Silverpoint
Bijouborne,ビジューボーン
Waistgate,ウェイストゲート
Zerphi's Genesis,ゼルフィの誕生
Cat O' Nine Tails,Cat O' Nine Tails
Ingenuity,創造力
Shavronne's Satchel,シャヴロンの鞄
Victario's Study,Victario's Study
Nameless Ring,名もなき指輪
Venarius' Astrolabe,ヴェナリウスのアストロラーベ
Whispers of Infinity,無限の囁き
Prospero's Protection,プロスペロの守護
Coiling Whisper,とぐろ巻く囁き
Squirming Terror,蠢く恐怖
The Queller of Minds,精神を鎮めるもの
The Selfish Shepherd,利己的な羊飼い
The Hateful Accuser,憎悪する告発者
Betrayal's Sting,裏切りの一刺し
Enmity's Embrace,敵意の抱擁
The Arkhon's Tools,アルコーンの道具
Ynda's Stand,インダの抵抗
Binds of Bloody Vengeance,血塗られた復讐の枷
Cryonic Ring,クライオニックリング
Enthalpic Ring,エンタルピックリング
Synaptic Ring,シナプティックリング
Organic Ring,オーガニックリング
Fugitive Ring,逃走者の指輪
Formless Ring,フォームレスリング
Haunting Memories,忘れられぬ記憶
Bonemeld,ボーンメルド
The Will of Tul,トゥルの意志
The Will of Xoph,ゾフの意志
The Will of Esh,エシュの意志
The Will of Uul-Netol,ウール・ネトルの意志
The Sundered Will,砕かれた意志
Lost Unity,失われし統一
Woespike,ウォースパイク
The Unseen Hue,見えざる色彩
Cord Belt,コードベルト
Khatal's Weeping,カタルの嘆き
Khatal's Geyser,カタルの噴出
The Bandit Lord's Band,盗賊王の指輪
Replica Gifts from Above,天からの恩恵 (レプリカ)
Saresh's Darkness,サレシュの闇
Solerai's Radiance,ソレライの光輝
Screams of the Desiccated,干からびた者たちの叫び
