Nailed Fist,釘打ちの鉄拳
Rory's Revengance,Rory's Revengance
Mark2's Mastery,Mark2's Mastery
Robbie's Rotten Mace,Robbie's Rotten Mace
Carl's Crusher,Carl's Crusher
Maligaro's Etcher,Maligaro's Etcher
The Winds of Fate,The Winds of Fate
Echoforge,Echoforge
Coiled Wand,巻かれたワンド
Widowhail,ウィドウヘイル
The Geomantic Gyre,The Geomantic Gyre
The Redblade,The Redblade
Maata's Teaching,マアタの教え
Rakiata's Dance,ラキアタの舞
Ethereal Bow,エセリアルの弓
The Burden of Shadows,影の重荷
Nametaker,ネームテイカー
Grace of the Goddess,女神の恩寵
Crude Claw,粗末な鉤爪
Pict Claw,ピクトクロー
Wolfbone Claw,狼骨の鉤爪
Forked Claw,フォーククロー
Plated Claw,プレートクロー
Edged Claw,エッジクロー
Arced Claw,アーチクロー
Hooked Claw,フッククロー
Razorglass Claw,レイザーグラスクロー
Armoured Claw,アーマードクロー
Piercing Claw,貫通する爪
Talon Claw,タロンクロー
Crone Knife,クローンナイフ
Simple Dagger,簡素な短剣
Moon Dagger,月の短剣
Engraved Knife,彫り込まれたナイフ
Obsidian Dagger,黒曜石の短剣
Bloodletting Dagger,瀉血の短剣
Mail Breaker,メイルブレイカー
Kris Knife,クリスナイフ
Parrying Dagger,パリングダガー
Arcane Dirk,アーケインディルク
Cinquedea,チンクエディア
Withered Wand,萎れたワンド
Bone Wand,骨のワンド
Attuned Wand,調和のワンド
Siphoning Wand,吸収のワンド
Volatile Wand,移り気なワンド
Galvanic Wand,電気のワンド
Acrid Wand,刺激のワンド
Offering Wand,供物のワンド
Frigid Wand,冷たいワンド
Torture Wand,拷問のワンド
Critical Wand,クリティカルワンド
Primordial Wand,原始のワンド
Dueling Wand,決闘のワンド
Shortsword,ショートソード
Broadsword,ブロードソード
Vampiric Blade,吸血鬼の刃
Scimitar,シミター
Charred Shortsword,黒焦げのショートソード
Sickle Sword,シックルソード
Falchion,ファルシオン
Treasured Blade,宝刀
Runic Shortsword,ルーニックショートソード
Messer,メッサー
Commander Sword,指揮官の剣
Dark Blade,闇の刃
Dull Hatchet,鈍らな手斧
Hook Axe,鉤付き斧
Bearded Axe,髭斧
Extended Cleaver,幅広な大包丁
Bandit Hatchet,山賊の手斧
Crescent Axe,三日月斧
Carving Hatchet,彫刻斧
Sacrificial Axe,生贄の斧
Boarding Hatchet,ボーディングハチェット
Fury Cleaver,怒りの斧
Battle Axe,戦斧
Profane Cleaver,不敬なクリーバー
Dread Hatchet,ドレッドハチェット
Wooden Club,棍棒
Smithing Hammer,鍛冶ハンマー
Slim Mace,スリムメイス
Warpick,ウォーピック
Plated Mace,プレートメイス
Brigand Mace,盗賊のメイス
Construct Hammer,建築用ハンマー
Jade Club,翡翠の棍棒
Lumen Mace,ルーメンメイス
Execratus Hammer,執行者のハンマー
Torment Club,トーメントクラブ
Kalguuran Forgehammer,カルグールのフォージハンマー
Calescent Hammer,発熱ハンマー
Flared Mace,フレアーメイス
Battle Pick,バトルピック
Marching Mace,マーチングメイス
Bandit Mace,山賊のメイス
Structured Hammer,組み立てハンマー
Crown Mace,クラウンメイス
Molten Hammer,溶融ハンマー
Strife Pick,ストライフピック
Fortified Hammer,要塞化のハンマー
Marauding Mace,略奪のメイス
Akoyan Club,アコヤのクラブ
Shortbow,ショートボウ
Warden Bow,監視者の弓
Dualstring Bow,デュアルストリングボウ
Cultist Bow,崇拝者の弓
Zealot Bow,狂信者の弓
Artillery Bow,砲兵の弓
Tribal Bow,部族の弓
Greatbow,大弓
Double Limb Bow,ダブルリムボウ
Heavy Bow,ヘビーボウ
Snakewood Shortbow,蛇紋木のショートボウ
Protector Bow,保護者の弓
Rider Bow,ライダーボウ
Twin Bow,ツインボウ
Adherent Bow,信者の弓
Militant Bow,闘争の弓
Ironwood Shortbow,鉄木のショートボウ
Cavalry Bow,騎兵隊の弓
Guardian Bow,守護者の弓
Gemini Bow,ジェミニボウ
Fanatic Bow,熱狂者の弓
Warmonger Bow,戦争屋の弓
Obliterator Bow,殲滅者の弓
Ashen Staff,灰のスタッフ
Gelid Staff,極寒のスタッフ
Voltaic Staff,電流のスタッフ
Spriggan Staff,スプリガンスタッフ
Pyrophyte Staff,パイロファイトスタッフ
Chiming Staff,鐘鳴のスタッフ
Rending Staff,裂断のスタッフ
Reaping Staff,リーピングスタッフ
Icicle Staff,氷柱のスタッフ
Roaring Staff,咆哮のスタッフ
Paralysing Staff,麻痺のスタッフ
Sanctified Staff,聖別されたスタッフ
Dark Staff,闇のスタッフ
Ravenous Staff,貪欲のスタッフ
Permafrost Staff,氷結のスタッフ
Corroded Longsword,腐食したグレートソード
Iron Greatsword,鉄のグレートソード
Blessed Claymore,祝福されたクレイモア
Broad Greatsword,ブロードグレートソード
Rippled Greatsword,リップルグレートソード
Arced Longsword,アークドロングソード
Stone Greatsword,石の大剣
Obsidian Greatsword,黒曜石の大剣
Keen Greatsword,鋭利な大剣
Ancient Greatblade,古代の大刃
Flanged Greatblade,鍔付きの大刃
Regalia Longsword,レガリアロングソード
Ultra Greatsword,特大剣
Splitting Greataxe,割り大斧
Light Halberd,ライトハルバート
Executioner Greataxe,処刑人の大斧
Arched Greataxe,弓型の大斧
Elegant Glaive,エレガントグレイブ
Savage Greataxe,蛮族の大斧
Rending Halberd,レンディングハルバート
Jagged Greataxe,ギザギザの大斧
Reaver Glaive,略奪者のグレイブ
Ember Greataxe,残り火の大斧
Ceremonial Halberd,儀式用ハルバード
Monument Greataxe,記念の大斧
Vile Greataxe,卑劣な大斧
Felled Greatclub,倒木のグレートクラブ
Oak Greathammer,オークグレートハンマー
Forge Maul,鍜治場の大槌
