Strength,筋力
Divine Fury,神聖な怒り
Divine Wrath,神聖な激怒
Trap Damage,トラップダメージ
Trap Damage and Trigger Area,トラップダメージおよび発動範囲
Unstable Munitions,不安定な弾薬
Stamina,スタミナ
Life Regeneration per Endurance Charge,エンデュランスチャージごとにライフ自動回復
Jewel Socket,Jewel Socket
Endurance Charge Duration,エンデュランスチャージ持続時間
Armour and Mana,Armour and Mana
Sanctum of Thought,思考の聖所
Dagger Damage and Critical Strike Chance,Dagger Damage and Critical Strike Chance
Dagger Damage and Accuracy,短剣ダメージおよび命中
Nightstalker,ナイトストーカー
Dagger Mastery,短剣マスタリー
Dagger Accuracy and Critical Strike Chance,Dagger Accuracy and Critical Strike Chance
"Lightning Damage, Shock Duration and Effect","Lightning Damage, Shock Duration and Effect"
Heart of Thunder,雷の心
Lightning Damage and Shock Chance,雷ダメージおよび感電確率
Lightning Damage and Shock Effect,Lightning Damage and Shock Effect
Breath of Lightning,雷の息
Axe Damage and Attack Speed,斧ダメージおよびアタックスピード
Slaughter,虐殺
Axe Damage and Bleed Chance,Axe Damage and Bleed Chance
Axe Damage and Bleed Duration,Axe Damage and Bleed Duration
Cleaving,薙ぎ払う
"Life Regeneration, Endurance Charge Duration","Life Regeneration, Endurance Charge Duration"
"Life Regeneration, Fire Damage",ライフ自動回復および火ダメージ
"Life Regeneration, Totem Placement Speed","Life Regeneration, Totem Placement Speed"
"Arohongui, Moon's Presence","Arohongui, Moon's Presence"
"Tasalio, Cleansing Water",浄化の水、タサリオ
"Tukohama, War's Herald",戦の使者、トゥコハマ
"Tawhoa, Forest's Strength",森の強者、タウホア
"Life Regeneration, Fire Resistance",ライフ自動回復および火耐性
"Valako, Storm's Embrace",嵐の抱擁　ヴァラコ
Hatchet Master,手斧使い
Axe Attack Speed and Evasion,Axe Attack Speed and Evasion
Wand Elemental Damage,ワンド元素ダメージ
Wand Mastery,ワンドマスタリー
Prism Weave,プリズムウィーブ
Wand Attack Speed and Accuracy,ワンドアタックスピードおよび命中
Cast Speed,キャストスピード
Accuracy and Critical Strike Chance,命中およびクリティカル率
Eagle Eye,イーグルアイ
Chaos and Power Charge Mastery,Chaos and Power Charge Mastery
Mana Regeneration per Power Charge,パワーチャージごとにマナ自動回復
Critical Strike Chance per Power Charge,パワーチャージごとにクリティカル率
Critical Strike Multiplier per Power Charge,パワーチャージごとにクリティカルダメージ倍率
Disciple of the Forbidden,禁じられし者の弟子
Born to Fight,生粋の戦士
Flask Effect and Duration,フラスコ効果・持続時間
Nature's Adrenaline,自然のアドレナリン
Master Surgeon,外科の達人
Flask Effect and Charges Gained,フラスコ効果およびチャージ獲得
Nature's Boon,自然の恩恵
Master Alchemist,マスターアルケミスト
"Flask Effect, Attack Damage","Flask Effect, Attack Damage"
Veteran Bowyer,Veteran Bowyer
"Flask Effect, Chaos Damage",フラスコ効果および混沌ダメージ
Nature's Reprisal,自然の報復
Physical Attack Damage,物理ダメージ
Life,ライフ
Mana Flows,マナの流れ
Bravery,勇敢
Trickery,詐欺
Endurance,耐久力
Devotion,一意専心
Vigour,活力
Revelry,祝祭
Dynamo,ダイナモ
Claws of the Magpie,カササギの爪
Claw Damage,鉤爪ダメージ
Soul Raker,Soul Raker
Claw Damage and Attack Speed,鉤爪ダメージおよびアタックスピード
Claw Mastery,鉤爪マスタリー
Claw Critical Strike Chance and Multiplier,鉤爪クリティカル率・ダメージ倍率
Claw Damage and Leech,鉤爪ダメージおよびリーチ
Claws of the Hawk,タカの鉤爪
Life Leech and Attack Speed,ライフリーチおよびアタックスピード
Lust for Carnage,殺戮欲
Life Leech Speed and Attack Speed,ライフリーチスピードおよびアタックスピード
Flash Freeze,急速冷凍
Cold Mastery,冷気マスタリー
Weapon Cold Damage,武器冷気ダメージ
Winter Spirit,冬の精霊
MARAUDER,マローダー
Melee Damage and Life,近接ダメージおよびライフ
Blunt Trauma,鈍的外傷
Staff Elemental Damage,スタッフ元素ダメージ
One with the River,川とともにある者
Staff Critical Strike Chance and Multiplier,スタッフクリティカル率およびクリティカルダメージ倍率
Staff Critical Strike Chance and Accuracy,Staff Critical Strike Chance and Accuracy
Totem and Brand Damage and Critical Strike Chance,Totem and Brand Damage and Critical Strike Chance
Totem and Brand Critical Strike Chance,Totem and Brand Critical Strike Chance
Totem and Brand Critical Strike Multiplier,Totem and Brand Critical Strike Multiplier
Shaman's Dominion,シャーマンの支配
"Elemental Damage, Attack and Cast Speed",元素ダメージおよびアタック・キャストスピード
"Elemental Damage, Life Regeneration",元素ダメージおよびライフ自動回復
Elemental Damage and Resistances,元素ダメージ・耐性
"Elemental Damage, Critical Strike Multiplier",元素ダメージおよびクリティカルダメージ倍率
Inevitable Judgement,避けられない判決
Augury of Penitence,後悔の前兆
Instruments of Virtue,美徳の道具
Pious Path,敬虔の道
Knockback Chance,ノックバック確率
Knockback Distance,ノックバック距離
Fending,フェンディング
Bloodless,無血
Life Mastery,ライフマスタリー
Fusillade,一斉射撃
Elder Power,エルダーパワー
Wand Damage,ワンドダメージ
Wand Critical Strike Chance and Multiplier,ワンドクリティカル率・ダメージ倍率
Disintegration,分解
Stun Threshold Reduction,スタン閾値減少
Stun Duration,スタン持続時間
Stun Mastery,スタンマスタリー
Energy Shield Mastery,エナジーシールドマスタリー
Evasion and Energy Shield,回避およびエナジーシールド
Void Barrier,ヴォイドバリア
Unnatural Calm,不自然な平穏
Expertise,熟練
Armour and Life Regeneration,アーマーおよびライフ自動回復
Armour Mastery,アーマーマスタリー
Combat Stamina,継戦能力
Minion Damage and Mana,Minion Damage and Mana
Aligned Spirits,Aligned Spirits
Path of the Warrior,ウォーリアーの道
Constitution,頑健
Life and Chaos Resistance,Life and Chaos Resistance
Purity of Flesh,純粋な肉体
Warrior's Blood,戦士の血
Damage,ダメ―ジ
Fangs of Frost,ファングオブフロスト
Spell Damage per Power Charge,パワーチャージごとにスペルダメージ
Instability,不安定性
Power Charge Duration,パワーチャージ持続時間
Divine Fervour,神聖な熱血
Holy Dominion,神聖な支配権
Light of Divinity,神性の光
Wandslinger,ワンドスリンガー
Wand Damage and Accuracy,Wand Damage and Accuracy
Wand Physical Damage and Attack Speed,ワンド物理ダメージおよびアタックスピード
Wand Physical Damage,ワンド物理ダメージ
Wand Fire Damage,Wand Fire Damage
Wand Cold Damage,Wand Cold Damage
Tempest Blast,テンペストブラスト
Dagger Critical Strike Chance and Multiplier,短剣クリティカル率・ダメージ倍率
Dagger Damage,短剣ダメージ
Flaying,剥ぎ取り
Dagger Damage and Attack Speed,短剣ダメージおよびアタックスピード
Backstabbing,バックスタブ
Minion Damage and Accuracy,Minion Damage and Accuracy
Gravepact,死の協定
Claws of the Falcon,ハヤブサの爪
Claw Damage and Critical Strike Chance,Claw Damage and Critical Strike Chance
Claw Accuracy and Critical Strike Chance,Claw Accuracy and Critical Strike Chance
Grave Intentions,強い遺志
Minion Life and Resistances,Minion Life and Resistances
Death Attunement,死の調和
Minion Life and Life Regeneration,Minion Life and Life Regeneration
Minion Life and Damage,ミニオンライフおよびダメージ
Minion Damage and Life Leech,Minion Damage and Life Leech
Minion Life Regeneration,ミニオンライフ自動回復
Sacrifice,サクリファイス
Minion Life Leech,Minion Life Leech
Blood Siphon,血のサイフォン
Soul Siphon,ソウルサイフォン
Foresight,先見の明
Overcharge,過剰感電
Faith and Steel,信仰と鋼
Armour and Energy Shield,アーマーおよびエナジーシールド
Mind Drinker,マインドドリンカー
"Cold Damage, Freeze and Chill Duration, Chill Effect","Cold Damage, Freeze and Chill Duration, Chill Effect"
Fingers of Frost,霜の指
"Cold Damage, Freeze Chance and Chill Effect","Cold Damage, Freeze Chance and Chill Effect"
Cold Damage Over Time Multiplier,冷気継続ダメージ倍率
Channelling Damage,チャネリングダメージ
Channelling Damage and Speed,チャネリングダメージおよびスピード
Singular Focus,唯一の焦点
Channelling Mastery,チャネリングマスタリー
Fire Damage and Burning Damage Multiplier,Fire Damage and Burning Damage Multiplier
Heart of Flame,炎の心
Fire Damage and Ignite Chance,Fire Damage and Ignite Chance
Fire Mastery,火マスタリー
Breath of Flames,炎の息
Fire Damage and Life Regeneration,火ダメージおよびライフ自動回復
Arsonist,放火魔
Magmatic Strikes,マグマストライク
Energy Shield and Energy Shield Recharge Rate,エナジーシールドおよびエナジーシールドリチャージレート
Essence Surge,エッセンスサージ
Heart of Ice,ハートオブアイス
"Cold Damage, Freeze and Chill Duration","Cold Damage, Freeze and Chill Duration"
"Cold Damage, Cold Damage Over Time Multiplier and Chill Effect","Cold Damage, Cold Damage Over Time Multiplier and Chill Effect"
"Cold Damage, Cold Damage Over Time Multiplier and Freeze Chance","Cold Damage, Cold Damage Over Time Multiplier and Freeze Chance"
Breath of Rime,氷の息
Infused,教諭されし
Soul Thief,魂を盗む者
Holy Fire,聖なる炎
Projectile Damage and Speed,投射物ダメージ・スピード
Projectile Damage,投射物ダメージ
Fury Bolts,怒りの矢
Spell Critical Strike Chance,スペルクリティカル率
Spell Critical Strike Multiplier,スペルクリティカルダメージ倍率
Arcane Potency,アーケインポーテンシー
Amplify,増幅
Area of Effect,効果範囲
Area of Effect Damage,範囲攻撃ダメージ
Deep Thoughts,熟慮
Cruel Preparation,冷酷な準備
Mana Regeneration and Life,マナ自動回復およびライフ
Quick Recovery,急速回復
Bow Accuracy and Attack Speed,Bow Accuracy and Attack Speed
Bow Damage and Accuracy,弓ダメージおよび命中
Dreamer,ドリーマー
Arcane Focus,アーケインフォーカス
"Energy Shield and Recovery, Mana Regeneration","Energy Shield and Recovery, Mana Regeneration"
Arcane Will,アーケインウィル
Critical Strike Multiplier,クリティカルダメージ倍率
Throatseeker,スロートシーカー
Nimbleness,敏捷さ
Cast Speed and Spell Critical Strike Chance,キャストスピードおよびスペルクリティカル率
Life and Flasks,ライフおよびフラスコ
Profane Chemistry,冒涜的な化学
Mental Rapidity,心の速度
Spell Damage,スペルダメージ
Dual Wield Attack Speed,二刀流アタックスピード
Gemini,Gemini
Dual Wield Damage and Block,二刀流ダメージおよびブロック
Deep Wisdom,深い知恵
Skill Duration,スキル持続時間
Potency of Will,意志の力
Ancestral Knowledge,先祖の知識
Exceptional Performance,並外れた能力
Precise Interception,Precise Interception
Attack Damage and Speed with Shield,Attack Damage and Speed with Shield
Attack Damage and Accuracy with Shield,Attack Damage and Accuracy with Shield
Dual Wield Damage and Accuracy,Dual Wield Damage and Accuracy
Aspect of the Panther,Aspect of the Panther
Dual Wield Damage and Attack Speed,二刀流ダメージおよびアタックスピード
Adder's Touch,クサリヘビの牙
Dagger Damage and Poison Chance,Dagger Damage and Poison Chance
Dagger Critical Strike Multiplier and Poison Duration,短剣クリティカルダメージ倍率および毒持続時間
Brutal Blade,冷酷な刀身
Sword Critical Strike Chance and Multiplier,剣クリティカル率・ダメージ倍率
Sword Damage and Critical Strike Chance,Sword Damage and Critical Strike Chance
Fatal Blade,致命の刃
Written in Blood,血書
Life and Energy Shield,ライフおよびエナジーシールド
Life and Energy Shield Mastery,Life and Energy Shield Mastery
Poisonous Fangs,毒牙
Claw Damage and Poison Chance,Claw Damage and Poison Chance
Claw Damage and Ailment Damage,Claw Damage and Ailment Damage
Claw Attack Speed and Poison Chance,鉤爪アタックスピードおよび毒付与確率
From the Shadows,影の中から
Dagger Damage and Movement Speed,短剣ダメージおよび移動スピード
Claw Attack Speed and Movement Speed,鉤爪アタックスピードおよび移動スピード
Claws of the Pride,Claws of the Pride
Claw Attack Speed and Movement Skill Cooldown,Claw Attack Speed and Movement Skill Cooldown
Mine Mastery,マインマスタリー
Mine Critical Strike Chance,マインクリティカル率
Mine Critical Strike Multiplier,マインクリティカルダメージ倍率
Mine Critical Strike Chance and Multiplier,マインクリティカル率・ダメージ倍率
Successive Detonations,逐次起爆
Heavy Draw,強弓
Physical Bow Damage and Area of Effect,Physical Bow Damage and Area of Effect
Physical Bow Damage and Chance to Bleed,Physical Bow Damage and Chance to Bleed
Bow Mastery,弓マスタリー
Physical Bow Damage,弓物理ダメージ
Deadly Draw,致命の弓
Bow Damage and Critical Strike Chance,弓ダメージおよびクリティカル率
Bow Damage and Attack Speed,弓ダメージおよびアタックスピード
Bow Damage and Critical Strike Multiplier,Bow Damage and Critical Strike Multiplier
King of the Hill,キングオブザヒル
Master Fletcher,マスターフレッチャー
Aspect of the Eagle,ワシの化身
Bow Attack Speed and Critical Strike Chance,Bow Attack Speed and Critical Strike Chance
Bow Damage and Chance to Poison,Bow Damage and Chance to Poison
Hunter's Gambit,ハンターの策略
Bow Damage,弓ダメージ
Fervour,熱意
Evasion Per Frenzy Charge,フレンジーチャージごとに回避力
Frenzy Charge Duration,フレンジーチャージ持続時間
Frenetic,狂乱
Blood Drinker,ブラッドドリンカー
Sword Damage and Critical Strike Multiplier,Sword Damage and Critical Strike Multiplier
Blade of Cunning,狡猾な刃
Sword Attack Speed and Critical Strike Chance,Sword Attack Speed and Critical Strike Chance
Prowess,豪勇
Savagery,残虐さ
Cloth and Chain,布と鎖
Herbalism,薬草学
Reflexes,反射神経
Beef,剛力
Shield Spell Block and Block Recovery,盾スペルブロックおよびブロック回復
Deflection,受け流し
Shield Block and Shield Defences,Shield Block and Shield Defences
Stun Avoidance and Movement Speed,Stun Avoidance and Movement Speed
Heart of Oak,樫の心
Primal Spirit,原始の精霊
Mana and Flask Effect,マナおよびフラスコ効果
Aura Area of Effect,オーラ効果範囲
Aura Effect,オーラ効果
Champion of the Cause,大義
Attack and Movement Speed,Attack and Movement Speed
Druidic Rite,ドルイドの儀式
Quickstep,クイックステップ
Lightning Damage and Shock Avoidance,Lightning Damage and Shock Avoidance
Fire Damage and Ignite Avoidance,Fire Damage and Ignite Avoidance
"Cold Damage, Freeze and Chill Avoidance","Cold Damage, Freeze and Chill Avoidance"
Crystal Skin,クリスタルスキン
Avoid Status Ailments and Elemental Resistances,Avoid Status Ailments and Elemental Resistances
Dual Wield Damage,二刀流ダメージ
Dervish,ダルウィーシュ
Dual Wield Accuracy,二刀流命中
RANGER,レンジャー
Evasion and Life,回避力およびライフ
Projectile Damage and Attack Speed,投射物ダメージおよびアタックスピード
Accuracy,命中力
Accuracy and Attack Speed,命中およびアタックスピード
Acuity,鋭さ
Accuracy and Elemental Resistances,命中および元素耐性
Weathered Hunter,歴戦の狩人
Depth Perception,空間認識能力
Ballistic Mastery,Ballistic Mastery
WITCH,ウィッチ
Energy Shield and Mana Regeneration,エナジーシールドおよびマナ自動回復
TEMPLAR,テンプラー
Damage and Mana,ダメージおよびマナ
Reduced Mana Reservation,Reduced Mana Reservation
Sovereignty,支配権
Aura Mastery,オーラマスタリー
Heart of the Warrior,戦士の心
Versatility,多才
Melee Area of Effect and Damage,近接効果範囲およびダメージ
Brinkmanship,瀬戸際戦術
Shield Defences and Attack Damage with Shields,Shield Defences and Attack Damage with Shields
Shield Block and Attack Speed,Shield Block and Attack Speed
Command of Steel,コマンドオブスチール
Serpent Stance,蛇の構え
Attack Damage,アタックダメージ
Influence,インフルエンス
Weapon Artistry,武芸
Aspect of the Lynx,ヤマネコの化身
Attack Damage and Accuracy,アタックダメージおよび命中力
Ambidexterity,両利き
Blade Barrier,ブレードバリア
Duel Wield Mastery,Duel Wield Mastery
Essence Glutton,本質を貪る者
Critical Strike Chance,クリティカル率
Heartseeker,Heartseeker
Destroyer,破壊者
Two Handed Attack Speed,両手武器アタックスピード
Bow Critical Strike Chance,Bow Critical Strike Chance
Lethality,致死性
Bow Critical Strike Chance and Multiplier,弓クリティカル率およびダメージ倍率
Fire Damage and Cast Speed with Fire Skills,Fire Damage and Cast Speed with Fire Skills
Fire Damage and Fire Conversion,Fire Damage and Fire Conversion
Explosive Impact,爆発の衝撃
Swagger,闊歩
Dual Wield Attack Speed and Block,二刀流アタックスピードおよびブロック
Mana and Life,マナおよびライフ
Heart and Soul,全身全霊
Practical Application,応用
Avoid Interruption while Casting,キャスト中の妨害無効化確率
SIX,六
Physical and Chaos Damage and Life,物理・混沌ダメージおよびライフ
Fire and Cold Damage,火・冷気ダメージ
Fire Damage and Fire Skill Critical Multiplier,Fire Damage and Fire Skill Critical Multiplier
Cold Damage and Cold Skill Critical Strike Chance,Cold Damage and Cold Skill Critical Strike Chance
Snowforged,スノーフォージ
Cold and Fire Mastery,Cold and Fire Mastery
Master Toxicist,マスタートキシシスト
Melee Critical Strike Multiplier,近接クリティカルダメージ倍率
Disemboweling,腹裂き
Melee Critical Strike Chance,近接クリティカル率
Melee Critical Mastery,Melee Critical Mastery
Damage Over Time and Life Regeneration,Damage Over Time and Life Regeneration
Damage Over Time,継続ダメージ
Growth and Decay,成長と衰退
Chaos Mastery,混沌マスタリー
Lethal Assault,Lethal Assault
"Evasion, Energy Shield, Life and Resistances","Evasion, Energy Shield, Life and Resistances"
Resourcefulness,才覚
"Damage, Area and Projectile Speed","Damage, Area and Projectile Speed"
Battle Rouse,戦闘鼓舞
Hematophagy,吸血
Coordination,コーディネーション
Minion Attack Speed and Accuracy,Minion Attack Speed and Accuracy
Spiritual Command,霊的支配
Brand Damage,ブランドダメージ
Explosive Runes,爆破のルーン
Sleight of Hand,手練
Physical Damage,物理ダメージ
Will of Blades,刃の意思
Mine Throwing and Detonation Speed,Mine Throwing and Detonation Speed
Mine Damage and Reduced Mana Reservation,Mine Damage and Reduced Mana Reservation
Volatile Mines,ボラタイルマイン
Mine Damage and Duration,マインダメージおよび持続時間
Revenge of the Hunted,窮鼠噛狸
Utmost Intellect,最高の知恵
Physique,体格
Sword Attack Speed and Accuracy,Sword Attack Speed and Accuracy
Sword Damage and Accuracy,剣ダメージおよび命中
Honed Edge,Honed Edge
Master of the Arena,闘技場の主
Arcane Vision,Arcane Vision
Art of the Gladiator,剣闘士の術
Essence Sap,エッセンスサップ
Agility,軽快さ
Alacrity,敏活さ
Berserking,狂化する
"Attack and Cast Speed, Accuracy",アタック・キャストスピードおよび命中
Discipline and Training,修業と訓練
"Elemental Damage, Status Ailment Chance",元素ダメージおよび状態異常付与確率
Beacon of Ruin,破滅の目印
Shaper of Desolation,荒廃させし者
Liege of the Primordial,原初の領主
Mastermind of Discord,不調和の黒幕
Pendulum of Destruction,Pendulum of Destruction
Paragon of Calamity,Paragon of Calamity
Elemancer,Elemancer
Sentinel,歩哨
"Projectile Damage, Attack Speed",投射物ダメージおよびアタックスピード
Fast and Deadly,Fast and Deadly
Ricochet,跳弾
"Projectile Damage, Accuracy",投射物ダメージおよび命中
Endless Munitions,尽きない弾薬
"Projectile Damage, Critical Strike Chance",投射物ダメージおよびクリティカル率
Rupture,裂傷
Powerful Precision,強力な正確さ
Gathering Winds,風集め
Proficiency,技能
Block,ブロック
Block and Block Recovery,ブロックおよびブロック回復
Poison and Bleed Damage,毒・出血ダメージ
Poison and Bleed Chance,Poison and Bleed Chance
Dirty Techniques,汚いテクニック
Two Handed Melee Critical Strike Chance and Accuracy,両手武器クリティカル率および命中
Titanic Impacts,巨大な衝撃
"Evasion, Frenzy Charge Duration","Evasion, Frenzy Charge Duration"
Way of the Poacher,Way of the Poacher
Avatar of the Slaughter,Avatar of the Slaughter
"Evasion, Onslaught Duration","Evasion, Onslaught Duration"
Rapid Assault,ラピッドアサルト
Avatar of the Chase,Avatar of the Chase
"Evasion, Movement Speed","Evasion, Movement Speed"
Quartz Infusion,Quartz Infusion
Avatar of the Veil,Avatar of the Veil
Minion Damage and Area of Effect,Minion Damage and Area of Effect
Fearsome Force,恐ろしい軍隊
Minion Life and Block,Minion Life and Block
Decay Ward,腐敗の守り
Minion Life and Spell Block,Minion Life and Spell Block
Arcanist's Dominion,秘術師の支配権
Thief's Craft,泥棒の悪知恵
Life and Reduced Mana Cost,Life and Reduced Mana Cost
Tireless,持続のウォークライ
Minion Damage and Movement Speed,ミニオンダメージおよび移動スピード
Ravenous Horde,貪欲な軍勢
Mana Flasks,マナフラスコ
Essence Extraction,エキスの抽出
Chaos Damage with Attacks and Poison Damage Multiplier,Chaos Damage with Attacks and Poison Damage Multiplier
Toxic Strikes,トキシックストライク
Righteous Army,正義の軍団
Redemption,贖罪
Spiritual Aid,霊的援助
Whispers of Doom,ウィスパーオブドゥーム
Curse Cast Speed,呪いキャストスピード
Retribution,天罰
"Armour and Energy Shield, Block Chance","Armour and Energy Shield, Block Chance"
Time of Need,タイムオブニード
Radiant Faith,輝く信仰
Bastion of Hope,希望の要塞
"Armour and Energy Shield, Life Regeneration",アーマー・エナジーシールドおよびライフ自動回復
"Armour and Energy Shield, Aura Effect",アーマー・エナジーシールドおよびオーラ効果
"Armour and Energy Shield, Charge Duration","Armour and Energy Shield, Charge Duration"
Harmony of Purpose,目的の調和
Unwavering Faith,揺ぎ無い信仰
"Armour and Energy Shield, Minion Damage",アーマー・エナジーシールドおよびミニオンダメージ
Radiant Crusade,光り輝く聖戦
Unwavering Crusade,揺ぎ無い聖戦
"Weapon Elemental Damage, Status Ailment Chance",武器元素ダメージおよび状態異常発生率
Weapon Elemental Damage,武器元素ダメージ
Primeval Force,原始の力
Weapon Elemental Mastery,Weapon Elemental Mastery
Wisdom of the Glade,木漏れ日の知恵
Galvanic Hammer,ガルバニックハンマー
Mace Critical Strike Chance and Multiplier,メイスクリティカル率・ダメージ倍率
Sceptre Mastery,Sceptre Mastery
Mace Elemental Damage and Accuracy,メイス元素ダメージおよび命中
Pain Forger,苦痛の鍛造者
Hard Knocks,人生経験
Skittering Runes,スキッタリングルーン
Damage Over Time and Chaos Damage Over Time Multiplier,Damage Over Time and Chaos Damage Over Time Multiplier
Atrophy,萎縮
