Value,価値
{0} Power Charges,{0} Power Charges
{0} Endurance Charges,{0} Endurance Charges
{0} Frenzy Charges,{0} Frenzy Charges
{0} Inspiration Charges,{0} Inspiration Charges
Tailwind,Tailwind
Exclusive to,Exclusive to
Enemy resistance: {0}%,Enemy resistance: {0}%
Cannot pierce,Cannot pierce
Cannot fork,Cannot fork
Cannot chain,Cannot chain
Eff. Maximum Hit Taken:,Eff. Maximum Hit Taken:
