Golden Mantle,黄金の外套
Callous Mask,無情の仮面
Regicide Mask,王殺しの仮面
Harlequin Mask,ハーレクインの仮面
Vine Circlet,つるのサークレット
Mind Cage,精神の檻
Hubris Circlet,ヒュブリスサークレット
Iron Circlet,鉄のサークレット
Torture Cage,拷問檻
Tribal Circlet,部族のサークレット
Bone Circlet,骨のサークレット
Lunaris Circlet,ルナリスサークレット
Steel Circlet,鋼のサークレット
Necromancer Circlet,ネクロマンサーサークレット
Solaris Circlet,ソラリスサークレット
Iron Hat,鉄の帽子
Royal Burgonet,王族のバーゴネット
Eternal Burgonet,永久のバーゴネット
Cone Helmet,円錐のヘルメット
Barbute Helmet,バービュートヘルメット
Close Helmet,クローズヘルメット
Gladiator Helmet,グラディエーターヘルメット
Reaver Helmet,略奪者のヘルメット
Siege Helmet,包囲のヘルメット
Samite Helmet,Samite Helmet
Ezomyte Burgonet,エゾマイトバーゴネット
Battered Helm,ぼろぼろのヘルム
Nightmare Bascinet,悪夢のバシネット
Sallet,サーリット
Visored Sallet,バイザー付きサーリット
Gilded Sallet,金メッキのサーリット
Secutor Helm,追撃闘士のヘルム
Fencer Helm,剣士のヘルム
Lacquered Helmet,漆塗のヘルメット
Fluted Bascinet,溝付きバシネット
Pig-Faced Bascinet,豚顔のバシネット
Rusted Coif,錆びついた頭巾
Praetor Crown,法務官の冠
Soldier Helmet,兵士のヘルメット
Great Helmet,グレートヘルム
Crusader Helmet,聖戦士のヘルメット
Aventail Helmet,鋼鉄フード付きヘルメット
Zealot Helmet,狂信者のヘルメット
Great Crown,グレートクラウン
Magistrate Crown,裁判官の冠
Prophet Crown,預言者の冠
Golden Wreath,黄金の花冠
Golden Flame,黄金の炎
Goathide Buckler,山羊皮のバックラー
Battle Buckler,バトルバックラー
Golden Buckler,黄金のバックラー
Ironwood Buckler,アイアンウッドバックラー
Lacquered Buckler,漆塗のバックラー
Vaal Buckler,ヴァールバックラー
Crusader Buckler,聖戦士のバックラー
Imperial Buckler,帝国のバックラー
Pine Buckler,松のバックラー
Painted Buckler,彩色されたバックラー
Hammered Buckler,鍛造されたバックラー
War Buckler,ウォーバックラー
Gilded Buckler,金メッキのバックラー
Oak Buckler,オークのバックラー
Enameled Buckler,エナメルバックラー
Corrugated Buckler,波型のバックラー
Spiked Bundle,釘の束
Alder Spiked Shield,ハンノキスパイクシールド
Ezomyte Spiked Shield,エゾマイトスパイクシールド
Mirrored Spiked Shield,鏡面のスパイクシールド
Supreme Spiked Shield,至高のスパイクシールド
Driftwood Spiked Shield,流木のスパイクシールド
Alloyed Spiked Shield,合金のスパイクシールド
Burnished Spiked Shield,艶のあるスパイクシールド
Ornate Spiked Shield,華美なスパイクシールド
Redwood Spiked Shield,セコイアスパイクシールド
Compound Spiked Shield,コンパウンドスパイクシールド
Polished Spiked Shield,磨かれたスパイクシールド
Sovereign Spiked Shield,君主のスパイクシールド
Twig Spirit Shield,小枝のスピリットシールド
Chiming Spirit Shield,鐘のスピリットシールド
Thorium Spirit Shield,トリウムのスピリットシールド
Lacewood Spirit Shield,レースウッドのスピリットシールド
Fossilised Spirit Shield,化石化したスピリットシールド
Vaal Spirit Shield,ヴァールスピリットシールド
Harmonic Spirit Shield,ハーモニーのスピリットシールド
Titanium Spirit Shield,チタンスピリットシールド
Yew Spirit Shield,イチイのスピリットシールド
Bone Spirit Shield,骨のスピリットシールド
Tarnished Spirit Shield,色褪せたスピリットシールド
Jingling Spirit Shield,鈴のスピリットシールド
Brass Spirit Shield,真鍮のスピリットシールド
Walnut Spirit Shield,胡桃のスピリットシールド
Ivory Spirit Shield,象牙のスピリットシールド
Ancient Spirit Shield,古代のスピリットシールド
Splintered Tower Shield,割れたタワーシールド
Bronze Tower Shield,青銅のタワーシールド
Girded Tower Shield,補強されたタワーシールド
Crested Tower Shield,紋章のタワーシールド
Shagreen Tower Shield,粒起皮のタワーシールド
Ebony Tower Shield,黒檀のタワーシールド
Ezomyte Tower Shield,エゾマイトタワーシールド
Colossal Tower Shield,巨大なタワーシールド
Pinnacle Tower Shield,天頂のタワーシールド
Corroded Tower Shield,腐食したタワーシールド
Rawhide Tower Shield,生皮のタワーシールド
Cedar Tower Shield,杉のタワーシールド
Copper Tower Shield,銅のタワーシールド
Reinforced Tower Shield,強化されたタワーシールド
Painted Tower Shield,彩色されたタワーシールド
Buckskin Tower Shield,鹿皮のタワーシールド
Mahogany Tower Shield,マホガニータワーシールド
Rotted Round Shield,腐ったラウンドシールド
Teak Round Shield,チークラウンドシールド
Spiny Round Shield,棘のラウンドシールド
Cardinal Round Shield,枢機卿のラウンドシールド
Elegant Round Shield,エレガントラウンドシールド
Fir Round Shield,モミ材のラウンドシールド
Studded Round Shield,スタッド付きラウンドシールド
Scarlet Round Shield,緋色のラウンドシールド
Splendid Round Shield,立派なラウンドシールド
Maple Round Shield,楓のラウンドシールド
Spiked Round Shield,釘のラウンドシールド
Crimson Round Shield,真紅のラウンドシールド
Baroque Round Shield,バロックラウンドシールド
Plank Kite Shield,木のカイトシールド
Branded Kite Shield,焼き印のカイトシールド
Champion Kite Shield,チャンピオンカイトシールド
Mosaic Kite Shield,モザイクカイトシールド
Archon Kite Shield,アルコンカイトシールド
Linden Kite Shield,菩提樹のカイトシールド
Reinforced Kite Shield,強化されたカイトシールド
Layered Kite Shield,層状のカイトシールド
Ceremonial Kite Shield,儀式用カイトシールド
Etched Kite Shield,エッチングカイトシールド
Steel Kite Shield,鋼のカイトシールド
Laminated Kite Shield,薄板のカイトシールド
Angelic Kite Shield,天使のカイトシールド
Cured Quiver,治癒の矢筒
Fire Arrow Quiver,炎の矢筒
Broadhead Arrow Quiver,太矢じりの矢筒
Penetrating Arrow Quiver,貫通の矢筒
Spike-Point Arrow Quiver,尖った矢筒
Ornate Quiver,華美な矢筒
Rugged Quiver,頑丈な矢筒
Conductive Quiver,導電の矢筒
Heavy Quiver,重い矢筒
Light Quiver,軽い矢筒
Serrated Arrow Quiver,鋸歯の矢筒
Two-Point Arrow Quiver,二股の矢筒
Sharktooth Arrow Quiver,鮫歯の矢筒
Blunt Arrow Quiver,鈍頭の矢筒
Taxing Gauntlets,Taxing Gauntlets
Gruelling Gauntlets,Gruelling Gauntlets
Debilitation Gauntlets,Debilitation Gauntlets
Gauche Gloves,Gauche Gloves
Southswing Gloves,Southswing Gloves
Sinistral Gloves,Sinistral Gloves
Leyline Gloves,聖道のグローブ
Aetherwind Gloves,霊気風のグローブ
Nexus Gloves,連鎖のグローブ
Basemetal Treads,ベースメタルトレッド
Darksteel Treads,ダークスティールトレッド
Brimstone Treads,ブリムストーントレッド
Kaom's Greaves,カオムのグリーヴ
Cloudwhisper Boots,雲囁のブーツ
Windbreak Boots,防風のブーツ
Stormrider Boots,ストームライダーブーツ
Duskwalk Slippers,夕闇の履物
Nightwind Slippers,夜風の履物
Dreamquest Slippers,夢旅の履物
Avian Slippers,鳥の履物
Kaom's Plate,カオムのプレート
Samnite Helmet,サムナイトヘルメット
Sorrow Mask,悲哀の仮面
Atonement Mask,贖罪の仮面
Penitent Mask,悔悛の仮面
Imp Crown,邪鬼の冠
Demon Crown,悪魔の冠
Archdemon Crown,大悪魔の冠
Gale Crown,疾風の冠
Winter Crown,冬の冠
Blizzard Crown,雪嵐の冠
Apothecary's Gloves,薬剤師のグローブ
Runic Gloves,ルーングローブ
Runic Gages,ルーンゲイジ
Runic Gauntlets,ルーンガントレット
Fugitive Boots,逃亡者のブーツ
Runic Greaves,ルーングリーヴ
Runic Sollerets,ルーンソレレット
Runic Sabatons,ルーンサバトン
Grasping Mail,グラスピングメイル
Runic Helm,ルーンヘルム
Runic Crest,ルーンクレスト
Runic Crown,ルーンの冠
Ambu's Charge,Ambu's Charge
Ashrend,アッシュレンド
Belly of the Beast,魔獣の腹
Bramblejack,ブランブルジャック
Briskwrap,ブリスクラップ
Bronn's Lithe,Bronn's Lithe
Carcass Jack,Carcass Jack
Cloak of Flame,炎のクローク
Cloak of Defiance,反抗のクローク
The Covenant,契約
Daresso's Defiance,Daresso's Defiance
Death's Oath,Death's Oath
Foxshade,フォックスシェード
Hyrri's Ire,ハイリの怒り
Icetomb,アイストゥーム
Incandescent Heart,Incandescent Heart
Infernal Mantle,Infernal Mantle
Kaom's Heart,カオムの心臓
Lightbane Raiment,Lightbane Raiment
Lightning Coil,ライトニング・コイル
Queen of the Forest,森の女王
Shavronne's Wrappings,Shavronne's Wrappings
Solaris Lorica,Solaris Lorica
Soul Mantle,魂の外套
Tabula Rasa,タビュラ・ラサ
Thousand Ribbons,Thousand Ribbons
Vis Mortis,ヴィズ・モーティス
Voll's Protector,ヴォールの保護具
Zahndethus' Cassock,Zahndethus' Cassock
Alberon's Warpath,Alberon's Warpath
Atziri's Step,アッツィリの歩み
The Blood Dance,The Blood Dance
Bones of Ullr,ウルルの骨
Darkray Vectors,ダークレイ・ベクトル
Deerstalker,Deerstalker
Demigod's Stride,Demigod's Stride
Dusktoe,Dusktoe
Goldwyrm,Goldwyrm
Lioneye's Paws,Lioneye's Paws
Victario's Flight,ヴィクタリオの疾走
Rainbowstride,Rainbowstride
Shavronne's Pace,Shavronne's Pace
Sin Trek,Sin Trek
Sundance,Sundance
Wake of Destruction,破滅の軌跡
Wanderlust,ワンダーラスト
Windscream,ウィンドスクリーム
Wondertrap,ワンダートラップ
Asenath's Gentle Touch,Asenath's Gentle Touch
Atziri's Acuity,アッツィリの鋭敏さ
Aurseize,オアシーズ
Demigod's Touch,Demigod's Touch
Meginord's Vise,Meginord's Vise
Doedre's Tenure,ドードゥリの才能
Facebreaker,Facebreaker
Voidbringer,Voidbringer
Hrimsorrow,Hrimsorrow
Lochtonial Caress,ロクトニアルの愛撫
Maligaro's Virtuosity,マリガロの妙技
Ondar's Clasp,Ondar's Clasp
Sadima's Touch,Sadima's Touch
Shackles of the Wretched,哀れな者の手枷
Slitherpinch,Slitherpinch
Snakebite,スネークバイト
Thunderfist,サンダーフィスト
Vaal Caress,Vaal Caress
Abyssus,Abyssus
Alpha's Howl,アルファの遠吠え
Asenath's Mark,Asenath's Mark
The Bringer of Rain,雨をもたらすもの
Chitus' Apex,Chitus' Apex
Crown of Eyes,目の王冠
Crown of Thorns,茨の冠
Deidbell,ディードベル
Demigod's Triumph,Demigod's Triumph
Devoto's Devotion,Devoto's Devotion
Ezomyte Peak,エゾマイトピーク
Fairgraves' Tricorne,Fairgraves' Tricorne
Geofri's Crest,Geofri's Crest
Goldrim,ゴールドリム
The Gull,The Gull
Heatshiver,ヒートシヴァー
Honourhome,Honourhome
Hrimnor's Resolve,Hrimnor's Resolve
Leer Cast,リアー・キャスト
Malachai's Simula,Malachai's Simula
Mindspiral,Mindspiral
The Peregrine,The Peregrine
Rat's Nest,Rat's Nest
Rime Gaze,Rime Gaze
Skullhead,Skullhead
Starkonja's Head,スターコンジャの頭
The Three Dragons,三頭のドラゴン
Veil of the Night,夜の帳
The Vertex,バーテックス
Atziri's Splendour,アッツィリの栄耀
Kaom's Roots,Kaom's Roots
Flesh and Spirit,Flesh and Spirit
Shadows and Dust,Shadows and Dust
Gang's Momentum,Gang's Momentum
Cherrubim's Maleficence,Cherrubim's Maleficence
Null and Void,Null and Void
Nomic's Storm,Nomic's Storm
Scold's Bridle,叱責の手綱
The Broken Crown,The Broken Crown
The Rat Cage,鼠の檻
Greed's Embrace,貪欲の抱擁
Tear of Entropy,Tear of Entropy
Black Sun Crest,黒い太陽の紋章
Empire's Grasp,帝国の掴み
Lioneye's Vision,Lioneye's Vision
Doedre's Scorn,Doedre's Scorn
Southbound,Southbound
The Restless Ward,The Restless Ward
Repentance,Repentance
Kingsguard,キングスガード
Ironweld,Ironweld
Ghostmarch,ゴーストマーチ
Deadman's Hand,Deadman's Hand
Vizaru's Folly,Vizaru's Folly
Kalisa's Grace,Kalisa's Grace
Arimagius' Honor,Arimagius' Honor
Wurmfist,Wurmfist
Dewath's Hide,Dewath's Hide
Doryani's Fist,ドリヤニの拳
Crown of the Pale King,ペールキングの王冠
Surgebinders,Surgebinders
Victario's Influence,Victario's Influence
Brinerot Whalers,Brinerot Whalers
Mutewind Whispersteps,Mutewind Whispersteps
Redblade Tramplers,Redblade Tramplers
Ylfeban's Trickery,Ylfeban's Trickery
Steppan Eard,Steppan Eard
Winds of Change,Winds of Change
Skyforth,Skyforth
Demigod's Dominance,Demigod's Dominance
Wyrmsign,Wyrmsign
Geofri's Sanctuary,Geofri's Sanctuary
Seven-League Step,Seven-League Step
Heretic's Veil,Heretic's Veil
Viper's Scales,Viper's Scales
The Beast Fur Shawl,The Beast Fur Shawl
Cloak of Tawm'r Isley,Cloak of Tawm'r Isley
Veruso's Battering Rams,ヴェルーソの破城槌
Three-step Assault,Three-step Assault
Cospri's Will,コスプリの意志
Wall of Brambles,Wall of Brambles
Kintsugi,Kintsugi
Shavronne's Gambit,Shavronne's Gambit
Ezomyte Hold,Ezomyte Hold
Deidbellow,Deidbellow
Martyr's Crown,Martyr's Crown
Hrimburn,Hrimburn
Death's Door,Death's Door
Grip of the Council,Grip of the Council
Mind of the Council,評議会の精神
Spiritskin,Spiritskin
Tinkerskin,Tinkerskin
Rumblemarch,Rumblemarch
The Brass Dome,真鍮のドーム
Kitava's Thirst,Kitava's Thirst
Obscurantis,Obscurantis
Voidwalker,Voidwalker
Shaper's Touch,Shaper's Touch
The Formless Flame,The Formless Flame
The Formless Inferno,The Formless Inferno
Voll's Vision,Voll's Vision
The Infinite Pursuit,無限の追跡
The Red Trail,The Red Trail
Malachai's Vision,Malachai's Vision
The Snowblind Grace,The Snowblind Grace
The Perfect Form,The Perfect Form
Skin of the Loyal,忠臣の皮膚
Skin of the Lords,Skin of the Lords
The Brine Crown,The Brine Crown
Gruthkul's Pelt,Gruthkul's Pelt
Abberath's Hooves,Abberath's Hooves
Garukhan's Flight,Garukhan's Flight
The Baron,The Baron
Haemophilia,Haemophilia
Ahn's Contempt,Ahn's Contempt
Prospero's Vault,Prospero's Vault
Speaker's Wreath,Speaker's Wreath
Inya's Epiphany,Inya's Epiphany
Volkuur's Guidance,Volkuur's Guidance
The Coming Calamity,迫り来る災難
Eber's Unification,Eber's Unification
Yriel's Fostering,ユリエルの養育
The Tempest's Binding,The Tempest's Binding
Dendrobate,Dendrobate
Allelopathy,Allelopathy
The Embalmer,The Embalmer
Dialla's Malefaction,Dialla's Malefaction
Malachai's Mark,Malachai's Mark
Stormcharger,Stormcharger
Wraithlord,Wraithlord
Giantsbane,Giantsbane
Inpulsa's Broken Heart,Inpulsa's Broken Heart
Memory Vault,Memory Vault
Doedre's Skin,Doedre's Skin
Ralakesh's Impatience,Ralakesh's Impatience
Bubonic Trail,Bubonic Trail
Oskarm,Oskarm
Bloodbond,Bloodbond
Blasphemer's Grasp,Blasphemer's Grasp
Lightpoacher,Lightpoacher
Tombfist,Tombfist
Shroud of the Lightless,Shroud of the Lightless
Craiceann's Chitin,Craiceann's Chitin
Craiceann's Pincers,Craiceann's Pincers
Craiceann's Tracks,Craiceann's Tracks
Craiceann's Carapace,Craiceann's Carapace
Greedtrap,Greedtrap
Fox's Fortune,Fox's Fortune
Gorgon's Gaze,Gorgon's Gaze
Doedre's Malevolence,Doedre's Malevolence
Farrul's Fur,Farrul's Fur
Fenumus' Shroud,Fenumus' Shroud
Saqawal's Winds,Saqawal's Winds
Windshriek,Windshriek
Indigon,インディゴン
Farrul's Bite,Farrul's Bite
Farrul's Pounce,Farrul's Pounce
Farrul's Chase,Farrul's Chase
Saqawal's Nest,Saqawal's Nest
Saqawal's Talons,Saqawal's Talons
Saqawal's Flock,Saqawal's Flock
Fenumus' Toxins,Fenumus' Toxins
Fenumus' Weave,Fenumus' Weave
Fenumus' Spinnerets,Fenumus' Spinnerets
Chains of Command,Chains of Command
Mark of the Red Covenant,Mark of the Red Covenant
Loreweave,Loreweave
Sunspite,Sunspite
Wildwrap,Wildwrap
Crystal Vault,Crystal Vault
Frostferno,Frostferno
Malachai's Awakening,Malachai's Awakening
Duskblight,Duskblight
Asenath's Chant,Asenath's Chant
Meginord's Vigour,Meginord's Vigour
Honourhold,Honourhold
Mask of the Spirit Drinker,Mask of the Spirit Drinker
Slavedriver's Hand,Slavedriver's Hand
Mask of the Stitched Demon,縫合されし悪魔の仮面
Dance of the Offered,Dance of the Offered
Omeyocan,Omeyocan
Architect's Hand,Architect's Hand
Shadowstitch,Shadowstitch
Command of the Pit,Command of the Pit
Crown of the Tyrant,Crown of the Tyrant
Demon Stitcher,デーモン・ステッチャー
Doryani's Delusion,Doryani's Delusion
Geofri's Legacy,Geofri's Legacy
Curtain Call,Curtain Call
The Iron Fortress,The Iron Fortress
Hale Negator,Hale Negator
Lawbreaker,Lawbreaker
Ullr's Advent,Ullr's Advent
Worldcarver,Worldcarver
The Devouring Diadem,むさぼり食う王冠
Flamesight,Flamesight
The Queen's Hunger,The Queen's Hunger
Farsight,Farsight
Galesight,Galesight
Thundersight,Thundersight
Waycarver,Waycarver
Storm's Gift,Storm's Gift
The Eternity Shroud,The Eternity Shroud
Vixen's Entrapment,Vixen's Entrapment
Mask of the Tribunal,Mask of the Tribunal
March of the Legion,March of the Legion
Offering to the Serpent,Offering to the Serpent
Garb of the Ephemeral,Garb of the Ephemeral
Demigod's Immortality,Demigod's Immortality
Aukuna's Will,Aukuna's Will
Maw of Conquest,Maw of Conquest
Wreath of Phrecia,Wreath of Phrecia
Fractal Thoughts,Fractal Thoughts
The Stampede,The Stampede
Triad Grip,Triad Grip
Machina Mitts,Machina Mitts
Torchoak Step,Torchoak Step
Cowl of the Cryophile,Cowl of the Cryophile
Rotting Legion,Rotting Legion
Cowl of the Thermophile,Cowl of the Thermophile
Cowl of the Ceraunophile,Cowl of the Ceraunophile
Breathstealer,Breathstealer
Sporeguard,Sporeguard
Hands of the High Templar,Hands of the High Templar
Crown of the Inward Eye,Crown of the Inward Eye
The Ivory Tower,The Ivory Tower
Painseeker,Painseeker
Eye of Malice,Eye of Malice
Perfidy,背信行為
Algor Mortis,Algor Mortis
Assailum,アセイラム
Beacon of Madness,Beacon of Madness
Battlehaste,Battlehaste
Doryani's Prototype,ドリヤニの試作品
Abhorrent Interrogation,Abhorrent Interrogation
Great Old One's Tentacles,Great Old One's Tentacles
Fleshcrafter,Fleshcrafter
The Tempest's Liberation,The Tempest's Liberation
Forbidden Shako,Forbidden Shako
Plume of Pursuit,Plume of Pursuit
Usurper's Penance,Usurper's Penance
Corpsewalker,Corpsewalker
Replica Lioneye's Paws,Replica Lioneye's Paws
Replica Abyssus,Replica Abyssus
Replica Atziri's Acuity,Replica Atziri's Acuity
Replica Kalisa's Grace,Replica Kalisa's Grace
Replica Ambu's Charge,Replica Ambu's Charge
Replica Shroud of the Lightless,Replica Shroud of the Lightless
Maw of Mischief,Maw of Mischief
Replica Kaom's Heart,Replica Kaom's Heart
Expedition's End,Expedition's End
Replica Perfect Form,Replica Perfect Form
Replica Loreweave,Replica Loreweave
Replica Three-step Assault,Replica Three-step Assault
Replica Allelopathy,Replica Allelopathy
Replica Alpha's Howl,Replica Alpha's Howl
Replica Forbidden Shako,Replica Forbidden Shako
Replica Restless Ward,Replica Restless Ward
Replica Farrul's Fur,Replica Farrul's Fur
Replica Eternity Shroud,Replica Eternity Shroud
