Item set:,アイテムセット:
"Show all skills, not just those used by this build.",このビルドで使用されているものだけでなく、すべてのスキルを表示する。
Enchant Item,エンチャント
Heist,ハイスト
Harvest,ハーベスト
No Anoint,アノイントなし
Anoint Item,アノイント
Scourge,スカージ
Corrupted Item,コラプトアイテム
Veiled,ヴェール
Add Modifier to Item,MODをアイテムに追加
Add Implicit to Item,アイテムに暗黙Modを追加
Fractured Item,フラクチャーアイテム
Synthesised Item,シンセシスアイテム
Elemental DPS,エレメンタルDPS
Attacks per Second,秒間攻撃回数
Weapon Range,武器射程
Chance to Block,ブロック率
Evasion Rating,回避値
Ward,ワード
Recovers {0} Life instantly,{0}の体力を即座に回復する
Recovers {0} Mana instantly,{0}のマナを即座に回復する
Limited to,制限:
Radius,範囲
Large,ラージ
Medium,ミディアム
Small,スモール
Attributes in Radius,範囲内能力値
Split,スプリット
Flask effect modifier: {0}%,フラスコ効果倍率: {0}%
Charge gain modifier: {0}%,チャージ獲得倍率: {0}%
Charges generated: {0} per second,1秒ごとのチャージ生成: {0}
Chance to not consume charges: {0}%,チャージを消費しない確率: {0}%
"Flask uptime: {0}% average, {1}% minimum",フラスコ稼働率: 平均 {0}% / 最低 {1}%
Flask uptime: {0}%,フラスコ稼働率: {0}%
Effective flask stats:,実効フラスコ性能:
Deactivating this flask will give you:,このフラスコを無効化すると次の効果を得ます:
Activating this flask will give you:,このフラスコを有効化すると:
Equipping this item in Socket {0} will give you:,このアイテムをソケット {0} に装備すると、以下を得ます:
Removing this item from Socket {0} will give you:,「ソケット {0}」からこのアイテムを取り外すと:
Equipping this item in Weapon {0} will give you:,このアイテムを武器 {0} に装備すると、以下を得ます:
Removing this item from Weapon {0} will give you:,「武器 {0}」からこのアイテムを取り外すと:
Equipping this item in Ring {0} will give you:,このアイテムをリング {0} に装備すると、以下を得ます:
Removing this item from Ring {0} will give you:,「リング {0}」からこのアイテムを取り外すと:
Equipping this item in Belt will give you:,このアイテムをベルトに装備すると、以下を得ます:
Removing this item from Belt will give you:,「ベルト」からこのアイテムを取り外すと:
Equipping this item in Amulet will give you:,このアイテムをアミュレットに装備すると、以下を得ます:
Removing this item from Amulet will give you:,「アミュレット」からこのアイテムを取り外すと:
Equipping this item in Boots will give you:,このアイテムをブーツに装備すると、以下を得ます:
Removing this item from Boots will give you:,「靴」からこのアイテムを取り外すと:
Equipping this item in Helmet will give you:,このアイテムをヘルメットに装備すると、以下を得ます:
Removing this item from Helmet will give you:,「頭」からこのアイテムを取り外すと:
Equipping this item in Body Armour will give you:,このアイテムを胴体防具に装備すると、以下を得ます:
Removing this item from Body Armour will give you:,「ボディアーマー」からこのアイテムを取り外すと:
Equipping this item in Gloves will give you:,このアイテムをグローブに装備すると、以下を得ます:
Removing this item from Gloves will give you:,「手袋」からこのアイテムを取り外すと:
replacing,置き換え
 Custom:, カスタム:
Activating this charm will give you:,このチャームを有効化すると得られるもの:
Deactivating this charm will give you:,このチャームを無効化すると得られるもの:
Removing this item from ,このアイテムを外す: 
Socket #,ソケット #
